CustomerID,Gender,Age,Income,SpendingScore,PurchaseFrequency
CUST1047,Nam,18,44377,69,8.7
CUST1048,Nam,39,55556,81,5.3
CUST1049,Nam,30,56228,30,3.0
CUST1050,Nam,37,51315,57,12.1
CUST1051,Nữ,43,54196,19,11.7
CUST1052,Nữ,24,70974,13,11.1
CUST1053,Nữ,57,49547,24,8.9
CUST1054,Nữ,51,55793,2,12.5
CUST1055,Nam,42,68697,45,2.7
CUST1056,Nữ,38,76286,62,8.8
CUST1057,Nam,22,48930,6,7.4
CUST1058,Nữ,46,31847,41,2.4
CUST1059,Nam,69,79478,48,14.7
CUST1060,Nam,38,56338,24,6.7
CUST1061,Nữ,40,59068,66,4.6
CUST1062,Nữ,64,45913,85,11.7
CUST1063,Nữ,25,55695,64,2.1
CUST1064,Nữ,35,64125,48,9.4
CUST1065,Nữ,53,67877,19,9.6
CUST1066,Nam,56,62012,2,3.1
CUST1067,Nữ,26,51418,21,4.5
CUST1068,Nữ,50,59244,18,6.1
CUST1069,Nữ,34,71008,56,9.5
CUST1070,Nam,46,69844,64,8.7
CUST1071,Nam,41,73991,14,14.5
CUST1072,Nam,25,80527,34,5.5
CUST1073,Nam,23,49362,7,11.1
CUST1074,Nam,34,72043,69,4.9
CUST1075,Nam,59,74978,69,7.5
CUST1076,Nam,28,45922,31,13.6
CUST1077,Nam,18,50290,82,2.5
CUST1078,Nam,57,65753,62,10.2
CUST1079,Nữ,22,54598,93,11.7
CUST1080,Nam,28,40390,37,7.8
CUST1081,Nữ,48,46573,48,2.4
CUST1082,Nữ,27,37156,94,12.4
CUST1083,Nữ,51,62349,96,13.8
CUST1084,Nam,32,64018,88,11.2
CUST1085,Nam,24,53128,12,1.2
CUST1086,Nam,59,80052,90,10.2
CUST1087,Nam,36,57857,8,5.7
CUST1088,Nam,43,65154,62,10.4
CUST1089,Nam,43,72479,80,12.1
CUST1090,Nữ,22,64147,4,8.0
CUST1091,Nữ,47,51969,86,9.6
CUST1092,Nam,50,75324,32,12.2
CUST1093,Nam,48,56297,93,5.8
CUST1094,Nữ,59,70425,42,5.5
CUST1095,Nam,35,40919,98,14.4
CUST1096,Nữ,43,37240,88,9.6
CUST1097,Nam,41,80731,24,5.3
CUST1098,Nữ,66,58044,100,1.5
CUST1099,Nữ,57,57474,54,4.4
CUST1100,Nữ,44,57162,89,11.5
CUST1101,Nam,59,52854,52,6.9
CUST1102,Nam,66,57776,6,1.7
CUST1103,Nữ,52,81397,56,12.7
CUST1104,Nữ,40,42245,65,10.5
CUST1105,Nam,45,43441,41,14.3
CUST1106,Nam,19,54833,22,7.0
CUST1107,Nam,32,61153,12,11.2
CUST1108,Nam,53,68879,81,3.3
CUST1109,Nam,25,61923,57,1.1
CUST1110,Nữ,31,57907,41,3.7
CUST1111,Nữ,53,77052,58,11.8
CUST1112,Nữ,27,70289,2,2.0
CUST1113,Nam,53,61466,96,4.7
CUST1114,Nữ,37,39130,47,5.2
CUST1115,Nữ,57,60012,69,10.5
CUST1116,Nam,57,62228,54,10.7
CUST1117,Nữ,68,70510,76,3.8
CUST1118,Nữ,59,38242,57,12.8
CUST1119,Nữ,34,49468,82,4.8
CUST1120,Nữ,50,85475,94,10.5
CUST1121,Nam,50,52975,4,5.0
CUST1122,Nam,64,43156,33,1.7
CUST1123,Nam,25,49673,89,6.5
CUST1124,Nam,62,49163,83,7.4
CUST1125,Nam,63,80442,27,12.2
CUST1126,Nam,62,57960,33,5.2
CUST1127,Nam,24,63783,20,6.0
CUST1128,Nữ,68,38948,87,6.7
CUST1129,Nam,67,40001,23,6.2
CUST1130,Nam,68,65597,84,3.3
CUST1131,Nam,37,57915,50,12.5
CUST1132,Nữ,50,46570,42,10.8
CUST1133,Nam,50,56051,13,9.2
CUST1134,Nữ,25,91684,23,13.7
CUST1135,Nam,43,56558,61,6.6
CUST1136,Nam,39,53433,94,11.7
CUST1137,Nam,57,61105,54,3.4
CUST1138,Nữ,34,47966,80,12.3
CUST1139,Nam,63,46453,25,12.9
CUST1140,Nam,64,56669,28,5.0
CUST1141,Nữ,49,9857,13,3.1
CUST1142,Nữ,37,44044,50,4.6
CUST1143,Nữ,65,65920,68,12.4
CUST1144,Nữ,57,54128,58,12.1
CUST1145,Nam,26,56068,18,2.4
CUST1146,Nam,67,48245,31,6.7
CUST1147,Nam,23,50117,95,5.2
CUST1148,Nam,18,48428,67,10.8
CUST1149,Nữ,52,47750,94,12.5
CUST1150,Nam,60,42692,28,3.2
CUST1151,Nữ,27,73303,7,3.5
CUST1152,Nam,67,77027,49,6.2
CUST1153,Nữ,38,49103,56,6.3
CUST1154,Nam,38,69660,8,2.4
CUST1155,Nam,69,58532,16,9.5
CUST1156,Nữ,65,64289,32,1.1
CUST1157,Nam,32,59280,81,6.5
CUST1158,Nữ,61,57848,70,11.1
CUST1159,Nam,63,74142,80,13.7
CUST1160,Nữ,23,62624,91,11.6
CUST1161,Nữ,37,56562,59,1.9
CUST1162,Nam,20,48963,28,7.5
CUST1163,Nam,41,63079,97,7.8
CUST1164,Nữ,38,46265,92,13.4
CUST1165,Nam,64,85928,89,3.3
CUST1166,Nữ,52,57017,79,13.8
CUST1167,Nam,21,84331,13,4.1
CUST1168,Nữ,68,38116,75,8.1
CUST1169,Nữ,46,40707,98,9.5
CUST1170,Nam,38,72067,26,12.5
CUST1171,Nam,25,67850,90,3.5
CUST1172,Nữ,42,68519,97,3.1
CUST1173,Nữ,40,76310,18,4.8
CUST1174,Nam,46,76597,2,6.4
CUST1175,Nữ,41,62379,57,11.6
CUST1176,Nam,29,57337,2,6.0
CUST1177,Nam,53,54467,50,9.1
CUST1178,Nam,19,76093,65,5.6
CUST1179,Nam,50,61704,67,1.2
CUST1180,Nữ,33,75493,5,4.1
CUST1181,Nữ,63,72070,88,4.4
CUST1182,Nam,61,71053,41,3.3
CUST1183,Nữ,21,46204,10,7.1
CUST1184,Nam,41,71156,91,11.6
CUST1185,Nữ,27,21711,11,8.1
CUST1186,Nam,29,62993,83,10.3
CUST1187,Nữ,31,64342,73,2.5
CUST1188,Nữ,33,46416,4,14.6
CUST1189,Nữ,37,62712,6,9.6
CUST1190,Nữ,30,56304,15,5.6
CUST1191,Nam,53,70192,73,1.6
CUST1192,Nam,65,51666,5,10.5
CUST1193,Nam,28,72676,20,2.2
CUST1194,Nữ,51,65373,95,13.7
CUST1195,Nữ,44,58367,16,14.3
CUST1196,Nữ,34,55517,35,12.3
CUST1197,Nữ,18,40479,28,9.6
CUST1198,Nam,69,69760,39,1.8
CUST1199,Nữ,32,27910,25,7.2
CUST1200,Nam,27,56019,70,7.7
CUST1201,Nữ,66,56337,49,3.4
CUST1202,Nam,42,67961,47,2.6
CUST1203,Nam,29,83701,58,2.0
CUST1204,Nam,39,85300,12,11.3
CUST1205,Nữ,19,68816,24,9.4
CUST1206,Nam,45,79069,29,10.3
CUST1207,Nam,68,77115,75,5.9
CUST1208,Nam,33,69973,26,13.0
CUST1209,Nữ,22,54143,10,3.1
CUST1210,Nam,38,50219,52,14.4
CUST1211,Nam,30,49509,5,11.3
CUST1212,Nữ,59,64763,73,11.1
CUST1213,Nam,27,52845,23,1.7
CUST1214,Nam,45,67095,70,8.9
CUST1215,Nữ,23,43878,29,4.6
CUST1216,Nữ,58,66283,38,5.3
CUST1217,Nam,35,43032,73,14.3
CUST1218,Nữ,69,62875,92,12.8
CUST1219,Nam,62,41729,70,3.1
CUST1220,Nữ,57,61603,47,12.3
CUST1221,Nữ,23,56086,64,14.5
CUST1222,Nam,27,35378,95,13.1
CUST1223,Nam,25,69745,27,8.7
CUST1224,Nữ,29,30331,35,6.0
CUST1225,Nữ,48,65146,22,8.2
CUST1226,Nam,46,65583,12,12.8
CUST1227,Nam,51,52389,11,8.1
CUST1228,Nữ,62,84975,71,6.8
CUST1229,Nữ,19,65445,83,1.3
CUST1230,Nữ,51,54457,70,4.3
CUST1231,Nam,50,72430,32,9.2
CUST1232,Nữ,28,62368,44,7.8
CUST1233,Nữ,22,38522,84,6.0
CUST1234,Nữ,57,60469,14,9.1
CUST1235,Nam,62,44026,46,8.0
CUST1236,Nam,25,81900,85,4.5
CUST1237,Nam,41,89009,94,6.3
CUST1238,Nam,32,67568,78,4.0
CUST1239,Nam,51,57361,92,5.4
CUST1240,Nam,59,78605,75,12.9
CUST1241,Nữ,50,70451,85,3.6
CUST1242,Nữ,26,58283,45,2.6
CUST1243,Nam,65,59745,93,12.7
CUST1244,Nữ,38,43627,34,2.0
CUST1245,Nữ,40,53268,15,10.8
CUST1246,Nữ,40,49495,96,12.7
CUST1247,Nữ,40,62102,62,3.0
CUST1248,Nam,44,68372,18,8.8
CUST1249,Nữ,47,74200,36,2.3
CUST1250,Nam,62,44436,15,2.0
CUST1251,Nữ,41,77920,70,8.4
CUST1252,Nam,57,44287,94,13.2
CUST1253,Nam,50,30802,70,11.2
CUST1254,Nam,25,70413,24,2.1
CUST1255,Nữ,65,65343,14,3.0
CUST1256,Nữ,41,74961,25,13.3
CUST1257,Nam,54,70869,83,2.1
CUST1258,Nữ,30,38764,17,6.0
CUST1259,Nam,67,49984,64,4.9
CUST1260,Nữ,33,61892,3,12.6
CUST1261,Nam,33,89598,57,8.8
CUST1262,Nam,64,49554,90,5.4
CUST1263,Nữ,66,38456,4,10.0
CUST1264,Nữ,45,54720,90,10.1
CUST1265,Nữ,67,69588,100,2.4
CUST1266,Nữ,59,51308,35,1.8
CUST1267,Nữ,24,51307,17,1.2
CUST1268,Nữ,31,61649,95,10.9
CUST1269,Nữ,37,61374,33,11.0
CUST1270,Nữ,39,69787,70,5.4
CUST1271,Nữ,50,39501,43,7.6
CUST1272,Nam,51,55747,47,8.5
CUST1273,Nữ,30,71843,60,5.9
CUST1274,Nam,38,66733,33,4.3
CUST1275,Nữ,57,38804,75,11.0
CUST1276,Nữ,48,60493,90,4.7
CUST1277,Nữ,47,67907,72,6.6
CUST1278,Nữ,23,57043,26,1.6
CUST1279,Nữ,54,46796,66,4.6
CUST1280,Nam,24,59611,59,2.8
CUST1281,Nam,50,41972,5,11.8
CUST1282,Nữ,49,37661,72,6.8
CUST1283,Nam,44,50492,74,12.6
CUST1284,Nữ,40,76404,73,6.3
CUST1285,Nam,49,80201,78,10.3
CUST1286,Nữ,60,48135,42,3.4
CUST1287,Nam,27,64255,18,5.5
CUST1288,Nam,64,75292,25,10.1
CUST1289,Nam,69,74443,41,13.8
CUST1290,Nữ,34,62655,21,10.8
CUST1291,Nữ,67,75925,57,8.4
CUST1292,Nữ,53,61300,95,6.3
CUST1293,Nam,35,63579,52,3.1
CUST1294,Nam,30,60894,56,12.2
CUST1295,Nữ,69,75179,77,7.9
CUST1296,Nữ,31,55463,50,7.8
CUST1297,Nam,23,38751,54,7.9
CUST1298,Nữ,34,84081,47,14.2
CUST1299,Nam,34,72440,22,10.3
CUST1300,Nam,29,57775,51,6.2
CUST1301,Nam,65,63273,57,4.7
CUST1302,Nữ,59,46052,71,10.1
CUST1303,Nữ,51,45121,70,6.5
CUST1304,Nữ,38,41503,25,14.7
CUST1305,Nam,29,70047,64,1.8
CUST1306,Nam,48,25138,87,7.0
CUST1307,Nam,25,69189,5,4.2
CUST1308,Nữ,52,43137,75,6.4
CUST1309,Nữ,19,73173,62,11.7
CUST1310,Nam,39,73518,96,11.1
CUST1311,Nam,28,29384,8,13.1
CUST1312,Nữ,34,51649,14,13.0
CUST1313,Nữ,58,73396,55,12.7
CUST1314,Nữ,38,74393,14,4.3
CUST1315,Nữ,38,30857,79,1.2
CUST1316,Nữ,40,73013,32,12.7
CUST1317,Nam,51,32698,66,11.5
CUST1318,Nữ,50,50790,94,12.4
CUST1319,Nữ,32,65487,49,3.6
CUST1320,Nam,29,68047,76,6.6
CUST1321,Nam,45,66789,65,11.4
CUST1322,Nam,57,79918,93,9.6
CUST1323,Nam,41,70998,55,5.4
CUST1324,Nữ,44,56175,98,4.5
CUST1325,Nam,46,46876,25,5.7
CUST1326,Nữ,51,78453,75,10.7
CUST1327,Nam,60,33313,32,13.7
CUST1328,Nữ,26,65121,83,2.0
CUST1329,Nam,22,52826,82,6.1
CUST1330,Nữ,53,41133,90,8.3
CUST1331,Nam,45,86100,85,6.8
CUST1332,Nữ,54,75111,69,10.2
CUST1333,Nam,59,55790,7,1.4
CUST1334,Nam,35,62084,33,3.9
CUST1335,Nữ,39,66052,78,8.1
CUST1336,Nữ,62,76046,65,4.4
CUST1337,Nam,55,64209,20,2.3
CUST1338,Nam,30,71687,80,10.5
CUST1339,Nam,59,60434,58,6.9
CUST1340,Nữ,30,52192,73,5.4
CUST1341,Nam,62,74117,32,13.9
CUST1342,Nữ,37,55521,2,1.6
CUST1343,Nam,28,61742,40,4.2
CUST1344,Nữ,55,71853,48,3.5
CUST1345,Nữ,62,58061,89,6.3
CUST1346,Nam,69,65879,53,9.9
CUST1347,Nữ,41,59978,27,2.3
CUST1348,Nam,22,53812,86,14.8
CUST1349,Nam,66,49669,58,3.2
CUST1350,Nữ,20,91238,48,3.5
CUST1351,Nam,65,49948,10,5.5
CUST1352,Nam,34,57719,89,5.9
CUST1353,Nam,59,36536,98,6.1
CUST1354,Nữ,69,63679,70,14.4
CUST1355,Nam,28,68924,76,10.0
CUST1356,Nữ,46,67517,75,9.7
CUST1357,Nam,20,72424,33,13.4
CUST1358,Nữ,37,68120,30,1.1
CUST1359,Nam,56,45606,34,8.7
CUST1360,Nữ,54,71608,29,14.5
CUST1361,Nam,43,23655,47,13.9
CUST1362,Nam,44,49543,33,14.2
CUST1363,Nam,42,40339,38,7.1
CUST1364,Nữ,36,57979,65,7.6
CUST1365,Nam,46,87607,17,4.9
CUST1366,Nữ,32,77666,21,1.7
CUST1367,Nữ,37,77569,82,4.6
CUST1368,Nam,64,51009,28,4.0
CUST1369,Nam,48,34362,63,5.4
CUST1370,Nam,21,86138,1,8.8
CUST1371,Nam,30,40853,90,6.9
CUST1372,Nữ,41,38091,60,8.8
CUST1373,Nữ,60,55883,49,11.2
CUST1374,Nam,66,78362,12,5.1
CUST1375,Nữ,43,76653,12,9.6
CUST1376,Nữ,18,78672,1,4.9
CUST1377,Nam,68,48780,2,13.5
CUST1378,Nữ,23,74665,93,5.6
CUST1379,Nam,19,67830,54,3.6
CUST1380,Nam,52,68899,81,13.1
CUST1381,Nữ,52,67203,51,8.8
CUST1382,Nam,53,44061,63,10.3
CUST1383,Nữ,31,70394,1,11.9
CUST1384,Nam,68,29847,39,8.7
CUST1385,Nam,67,78260,94,11.8
CUST1386,Nam,26,63066,24,12.8
CUST1387,Nữ,40,75589,63,14.5
CUST1388,Nam,26,27037,62,1.7
CUST1389,Nam,69,53955,51,8.2
CUST1390,Nữ,57,76240,31,2.9
CUST1391,Nam,19,64208,80,12.7
CUST1392,Nữ,25,45848,44,3.2
CUST1393,Nam,37,83632,25,8.1
CUST1394,Nam,39,93398,82,10.2
CUST1395,Nam,66,63533,24,14.6
CUST1396,Nam,61,69070,43,6.8
CUST1397,Nữ,30,49903,95,8.0
CUST1398,Nữ,54,61665,59,5.9
CUST1399,Nữ,64,52748,4,2.5
CUST1400,Nam,40,52516,86,14.4
CUST1401,Nữ,22,50480,24,3.1
CUST1402,Nữ,42,59599,20,1.8
CUST1403,Nam,40,49124,1,7.8
CUST1404,Nữ,64,65469,84,14.2
CUST1405,Nữ,26,45172,39,12.3
CUST1406,Nữ,63,80989,12,2.7
CUST1407,Nữ,43,35741,41,8.9
CUST1408,Nữ,63,71399,100,9.3
CUST1409,Nam,26,82388,47,10.6
CUST1410,Nam,59,69059,2,9.7
CUST1411,Nam,38,46938,63,6.1
CUST1412,Nam,23,58828,11,8.9
CUST1413,Nữ,65,67604,30,13.8
CUST1414,Nữ,53,44498,42,8.9
CUST1415,Nam,40,40846,17,6.4
CUST1416,Nam,22,73433,68,8.4
CUST1417,Nam,57,56948,84,4.1
CUST1418,Nam,55,68222,33,14.6
CUST1419,Nam,51,78185,62,13.2
CUST1420,Nữ,47,63567,94,6.3
CUST1421,Nam,54,46460,39,6.1
CUST1422,Nam,68,42675,10,5.2
CUST1423,Nam,30,61088,41,4.0
CUST1424,Nữ,36,65821,73,10.2
CUST1425,Nam,36,62897,96,8.4
CUST1426,Nam,64,65757,41,3.8
CUST1427,Nữ,24,51413,89,2.0
CUST1428,Nam,69,56190,99,5.1
CUST1429,Nữ,47,65350,94,9.1
CUST1430,Nam,47,58210,70,12.5
CUST1431,Nữ,39,68105,43,5.5
CUST1432,Nam,37,62401,29,10.3
CUST1433,Nam,50,51192,89,7.2
CUST1434,Nam,30,48476,28,10.7
CUST1435,Nam,59,73429,85,13.6
CUST1436,Nam,51,43632,9,7.4
CUST1437,Nam,33,75412,4,12.1
CUST1438,Nữ,40,48662,63,6.1
CUST1439,Nam,61,38772,71,7.0
CUST1440,Nam,46,61916,68,10.0
CUST1441,Nam,49,38929,13,12.5
CUST1442,Nữ,65,48458,2,14.3
CUST1443,Nam,52,49360,84,13.2
CUST1444,Nữ,66,39709,95,7.6
CUST1445,Nữ,51,54935,52,13.3
CUST1446,Nữ,63,50859,49,14.3
CUST1447,Nam,35,59583,17,12.1
CUST1448,Nữ,21,74231,70,9.5
CUST1449,Nam,43,51488,54,14.1
CUST1450,Nam,47,59027,95,2.6
CUST1451,Nam,27,49081,7,4.5
CUST1452,Nam,67,80265,59,4.6
CUST1453,Nam,69,53693,14,4.1
CUST1454,Nam,33,60215,41,12.9
CUST1455,Nam,53,57252,94,3.1
CUST1456,Nam,60,70480,67,8.4
CUST1457,Nam,66,50400,81,13.7
CUST1458,Nam,23,78581,93,13.0
CUST1459,Nữ,18,60372,91,14.7
CUST1460,Nam,40,75770,61,14.3
CUST1461,Nam,31,40480,88,5.1
CUST1462,Nam,24,77951,53,9.0
CUST1463,Nữ,68,27958,83,5.9
CUST1464,Nam,37,92326,23,6.0
CUST1465,Nam,34,49587,6,9.5
CUST1466,Nữ,65,58318,97,6.5
CUST1467,Nam,22,75180,71,10.5
CUST1468,Nữ,53,58981,37,14.8
CUST1469,Nữ,25,49209,25,1.7
CUST1470,Nữ,40,54240,6,9.4
CUST1471,Nữ,55,65172,52,3.2
CUST1472,Nam,66,38766,17,10.9
CUST1473,Nam,27,61182,83,5.7
CUST1474,Nam,39,47211,43,2.5
CUST1475,Nam,27,54714,64,3.7
CUST1476,Nữ,40,73459,7,9.1
CUST1477,Nữ,32,77468,88,1.2
CUST1478,Nam,52,65512,10,2.6
CUST1479,Nam,41,68954,50,5.0
CUST1480,Nam,20,59331,75,9.5
CUST1481,Nữ,62,63218,23,11.1
CUST1482,Nữ,26,39821,45,1.7
CUST1483,Nữ,54,51460,20,6.5
CUST1484,Nam,18,61067,19,5.9
CUST1485,Nam,33,72310,42,8.9
CUST1486,Nữ,41,84397,64,6.1
CUST1487,Nữ,36,73597,51,14.5
CUST1488,Nữ,57,70379,1,1.1
CUST1489,Nam,50,59502,57,1.0
CUST1490,Nam,69,58976,37,3.2
CUST1491,Nam,66,42534,25,4.2
CUST1492,Nữ,30,27896,51,10.8
CUST1493,Nam,60,68342,62,1.4
CUST1494,Nữ,68,73531,12,4.4
CUST1495,Nữ,20,55152,99,5.7
CUST1496,Nữ,63,77029,25,2.7
CUST1497,Nam,64,55018,98,14.3
CUST1498,Nam,35,67183,3,14.5
CUST1499,Nữ,69,47877,88,1.3
CUST1500,Nữ,21,85900,3,13.5
CUST1501,Nam,66,64216,15,14.8
CUST1502,Nam,40,61058,100,7.3
CUST1503,Nữ,26,68543,87,11.2
CUST1504,Nam,62,52296,10,1.8
CUST1505,Nam,26,58665,55,1.1
CUST1506,Nữ,57,74106,29,2.9
CUST1507,Nữ,64,48845,75,3.0
CUST1508,Nam,34,67872,79,2.8
CUST1509,Nam,25,83188,36,3.7
CUST1510,Nữ,65,90331,67,7.3
CUST1511,Nam,27,54882,11,13.7
CUST1512,Nam,50,61123,65,13.7
CUST1513,Nam,59,78520,24,8.7
CUST1514,Nữ,69,36809,29,14.4
CUST1515,Nam,60,63811,18,12.6
CUST1516,Nữ,19,65046,37,1.4
CUST1517,Nữ,20,58743,33,8.4
CUST1518,Nam,26,59714,92,11.2
CUST1519,Nữ,46,38907,13,13.9
CUST1520,Nữ,32,72764,75,3.1
CUST1521,Nam,65,49956,3,4.7
CUST1522,Nữ,51,77776,23,8.1
CUST1523,Nam,40,53062,37,10.1
CUST1524,Nam,21,46509,56,9.8
CUST1525,Nữ,51,59992,14,5.9
CUST1526,Nữ,18,71241,69,4.2
CUST1527,Nữ,63,57619,17,9.0
CUST1528,Nam,57,51299,34,6.4
CUST1529,Nam,63,60706,100,5.1
CUST1530,Nam,41,78471,11,7.0
CUST1531,Nữ,31,61109,67,7.3
CUST1532,Nam,44,48729,40,6.8
CUST1533,Nam,42,65584,90,5.2
CUST1534,Nam,38,52405,88,13.2
CUST1535,Nam,69,62277,54,14.8
CUST1536,Nam,18,55133,12,10.5
CUST1537,Nữ,45,65879,94,6.2
CUST1538,Nam,65,60980,2,3.2
CUST1539,Nam,50,58151,100,9.6
CUST1540,Nữ,43,57913,35,10.7
CUST1541,Nam,57,46845,27,3.1
CUST1542,Nữ,59,75432,6,5.8
CUST1543,Nữ,53,70302,58,6.5
CUST1544,Nữ,52,45937,23,13.7
CUST1545,Nữ,26,61766,70,5.9
CUST1546,Nữ,66,60233,86,10.2
CUST1547,Nam,46,65052,65,3.2
CUST1548,Nam,23,48696,93,15.0
CUST1549,Nữ,23,78080,86,9.8
CUST1550,Nữ,53,57148,8,5.1
CUST1551,Nữ,44,64475,49,13.1
CUST1552,Nam,66,39730,36,10.8
CUST1553,Nam,45,61628,59,14.0
CUST1554,Nam,20,19102,88,1.6
CUST1555,Nam,34,79060,32,7.7
CUST1556,Nữ,55,86812,44,5.0
CUST1557,Nữ,44,69790,4,10.7
CUST1558,Nam,45,54920,69,2.5
CUST1559,Nữ,61,65953,37,10.7
CUST1560,Nam,44,63437,39,13.8
CUST1561,Nam,49,66767,82,8.7
CUST1562,Nữ,55,81880,53,9.3
CUST1563,Nam,51,59425,15,4.7
CUST1564,Nam,62,48476,39,10.5
CUST1565,Nam,47,84078,3,1.9
CUST1566,Nữ,21,76680,53,5.4
CUST1567,Nữ,44,70972,76,11.2
CUST1568,Nam,62,56754,19,5.1
CUST1569,Nam,18,56974,36,6.4
CUST1570,Nam,66,61052,30,11.6
CUST1571,Nam,63,83775,53,13.0
CUST1572,Nữ,26,44675,41,4.0
CUST1573,Nam,30,63995,26,3.4
CUST1574,Nam,64,50096,87,8.3
CUST1575,Nữ,42,89361,68,11.7
CUST1576,Nam,60,86863,52,3.9
CUST1577,Nữ,65,50011,77,2.4
CUST1578,Nữ,62,59193,73,6.8
CUST1579,Nam,61,65796,67,3.3
CUST1580,Nam,27,55269,27,14.3
CUST1581,Nữ,56,29654,59,9.4
CUST1582,Nam,44,71252,77,5.3
CUST1583,Nữ,26,71267,98,10.0
CUST1584,Nữ,49,54515,68,8.4
CUST1585,Nữ,18,72279,32,4.5
CUST1586,Nữ,29,49427,79,12.0
CUST1587,Nam,69,68912,24,10.9
CUST1588,Nam,58,68537,53,5.5
CUST1589,Nam,53,66003,57,5.9
CUST1590,Nam,58,46714,23,14.9
CUST1591,Nữ,23,47473,32,7.8
CUST1592,Nữ,65,94830,93,1.7
CUST1593,Nữ,19,57619,90,14.6
CUST1594,Nam,45,65540,14,9.7
CUST1595,Nữ,50,52400,46,9.3
CUST1596,Nam,35,77396,58,7.4
CUST1597,Nữ,51,68480,37,3.5
CUST1598,Nam,18,50884,94,3.5
CUST1599,Nam,19,59328,88,14.3
CUST1600,Nữ,33,33609,1,5.5
CUST1601,Nam,48,74914,82,11.9
CUST1602,Nữ,64,68901,10,11.4
CUST1603,Nữ,34,52804,86,10.4
CUST1604,Nam,43,46497,99,4.4
CUST1605,Nam,58,84556,3,9.0
CUST1606,Nam,51,58076,58,4.1
CUST1607,Nam,55,63195,45,4.7
CUST1608,Nam,44,56470,14,12.6
CUST1609,Nữ,34,90425,42,4.8
CUST1610,Nam,60,55683,73,14.7
CUST1611,Nữ,63,64689,57,13.6
CUST1612,Nam,29,60405,67,11.2
CUST1613,Nữ,25,42683,66,4.0
CUST1614,Nữ,24,53735,43,9.2
CUST1615,Nữ,21,54358,81,7.3
CUST1616,Nữ,68,80896,77,7.8
CUST1617,Nữ,31,44573,34,3.8
CUST1618,Nam,61,39690,83,3.0
CUST1619,Nữ,36,55203,93,2.2
CUST1620,Nữ,21,59947,18,4.8
CUST1621,Nữ,69,74489,82,6.2
CUST1622,Nữ,44,38671,38,12.1
CUST1623,Nữ,69,52040,54,4.6
CUST1624,Nam,46,38043,92,12.5
CUST1625,Nữ,37,66035,66,11.2
CUST1626,Nữ,44,31515,36,5.1
CUST1627,Nam,20,58587,3,9.2
CUST1628,Nam,60,63568,82,1.3
CUST1629,Nữ,24,44982,100,12.6
CUST1630,Nam,26,57968,64,10.5
CUST1631,Nam,42,60169,97,13.2
CUST1632,Nam,21,94232,68,9.4
CUST1633,Nam,34,57317,87,11.6
CUST1634,Nữ,32,66462,99,2.0
CUST1635,Nam,41,54085,84,13.4
CUST1636,Nữ,57,59317,27,2.9
CUST1637,Nam,31,57555,24,8.8
CUST1638,Nữ,20,51196,55,8.8
CUST1639,Nam,57,47699,39,9.2
CUST1640,Nữ,28,82359,41,5.6
CUST1641,Nữ,63,69098,18,9.4
CUST1642,Nam,51,60972,12,13.0
CUST1643,Nam,43,67184,6,13.5
CUST1644,Nam,67,40353,24,13.3
CUST1645,Nam,59,75794,18,9.8
CUST1646,Nam,52,38746,100,11.6
CUST1647,Nữ,50,79120,65,7.3
CUST1648,Nam,23,87523,44,10.8
